frage,antwort,quelle_url,kategorie,stand,ist_frage
Wann hilft mir diese Anleitung?,"Wenn Sie auf Ihrem Smartphone in der App „ID Austria“ angemeldet sind und auf oesterreich.gv.at ein Online-Service (z.B. FinanzOnline, MeineSV, …) zugreifen wollen, ohne sich dort erneut mit Benutzername und Signatur-Passwort anzumelden. Was ist das Standardverhalten und warum tritt manchmal ein Problem auf Häufigste Lösungsmöglichkeit für iOS-Geräte mit Safari als Browser Weitere Lösungsmöglichkeiten für iOS und Android",https://www.id-austria.gv.at/de/hilfe/hilfe-zu-ida/In-Online-Services-einsteigen-ohne-erneute-Anmeldung,hilfe-zu-ida,2026-07-14,False
Was ist das Standardverhalten und warum tritt manchmal ein Problem auf?,"Die angemeldete App „ID Austria“ ermöglicht es, sich bei Online-Services mittels Biometrie (Gesichtserkennung oder Fingerprint ID) bzw. Gerätepasswort anzumelden. Dafür benutzt die App „ID Austria” eine Verknüpfung mit dem Browser. Falls der Browser diese Verknüpfung verliert, übernimmt er wieder selbst die Authentifizierung und führt eine reguläre Web-Anmeldung durch, also mit Benutzername, Signatur-Passwort und Bestätigung einer offenen Signatur.",https://www.id-austria.gv.at/de/hilfe/hilfe-zu-ida/In-Online-Services-einsteigen-ohne-erneute-Anmeldung,hilfe-zu-ida,2026-07-14,True
Häufigste Lösungsmöglichkeit für iOS-Geräte mit Safari als Browser,Sie können die verlorene Verknüpfung des Browsers wiederherstellen: Rufen Sie dafür im Browser Ihres Smartphones die Seite ida.gv.at/u/web2app-pruefen auf. Es erscheint die Fehlermeldung „Leider ist ein Fehler aufgetreten. Die Anmeldung war nicht erfolgreich“. Oberhalb der Fehlermeldung ist ein Banner. Klicken Sie dort auf den Button „Öffnen“.,https://www.id-austria.gv.at/de/hilfe/hilfe-zu-ida/In-Online-Services-einsteigen-ohne-erneute-Anmeldung,hilfe-zu-ida,2026-07-14,False
Weitere Lösungsmöglichkeiten für iOS und Android,Lösungsansatz 1: Ändern Sie Ihren Standard-Browser (nur für iOS) Anleitungen zum Ändern des Standard Browsers: Für iOS: Apple Support Seite: Standard-Apps auf dem iPhone ändern,https://www.id-austria.gv.at/de/hilfe/hilfe-zu-ida/In-Online-Services-einsteigen-ohne-erneute-Anmeldung,hilfe-zu-ida,2026-07-14,False
Wann hilft mir diese Anleitung?,"Wenn Sie sich mit Ihrer ID Austria bei einem Service Provider anmelden wollen: in Vertretung einer Person oder eines Unternehmens, die/das Ihnen eine Vollmacht erteilt hat, oder in Vertretung einer Person, für die Sie obsorgeberechtigt sind, bzw. als Erwachsenenvertretung. Dies ist aktuell nur bei ""Öffentliches Gesundheitsportal Österreichischs"" (gesundheit.gv.at, ELGA-Portal) möglich.",https://www.id-austria.gv.at/de/hilfe/hilfe-zu-ida/anmeldung-in-vertretung,hilfe-zu-ida,2026-06-18,False
Anmeldung mit Vollmacht,"Wählen Sie auf der ID Austria Anmeldemaske „Person oder Unternehmen vertreten“. Wählen Sie die Person oder das Unternehmen, in deren/dessen Vertretung Sie sich anmelden möchten. Wählen Sie „In Vertretung anmelden“. Hier finden Sie Informationen zur Erteilung und Verwaltung einer Vollmacht.",https://www.id-austria.gv.at/de/hilfe/hilfe-zu-ida/anmeldung-in-vertretung,hilfe-zu-ida,2026-06-18,False
Anmeldung als obsorgeberechtigte Person oder Erwachsenenvertretung,Wählen Sie auf der ID Austria Anmeldemaske „Person vertreten“. Wählen Sie „Als obsorgeberechtigte Person oder Erwachsenenvertretung anmelden“. Geben Sie die Sozialversicherungsnummer als weiteres Personenmerkmal an.,https://www.id-austria.gv.at/de/hilfe/hilfe-zu-ida/anmeldung-in-vertretung,hilfe-zu-ida,2026-06-18,False
Ich habe ohne für mich ersichtlichen Grund eine SMS mit dem Titel „Signatur-Passwort zurücksetzen“ bekommen. Was bedeutet das?,"Wenn Sie diese SMS erhalten haben, ohne dass Sie selbst die Funktion „Signatur-Passwort zurücksetzen“ genutzt haben, liegt die Erklärung vermutlich darin, dass eine andere Person versehentlich Ihre Mobiltelefonnummer bzw. Ihren Benutzernamen bei dieser Funktion eingegeben hat. Bitte ignorieren Sie in diesem Fall die SMS. Beim „Signatur-Passwort zurücksetzen“ wird im ersten Schritt der Benutzername oder die hinterlegte Mobiltelefonnummer des betroffenen ID Austria Kontos eingegeben. Anschließend erhält man auf die hinterlegte Mobiltelefonnummer eine SMS mit dem Inhalt „Signatur-Passwort zurücksetzen“ sowie eine TAN. Erst durch die Eingabe dieser TAN wird der Prozess zur Änderung des ID Austria Signatur-Passwortes gestartet. Bei Fragen und für weitere Hilfestellungen kontaktieren Sie bitte das Service Center.",https://www.id-austria.gv.at/de/hilfe/hilfe-zu-ida/auffaellige-bestaetigungsanforderung,hilfe-zu-ida,2025-06-19,True
Ich habe ohne für mich ersichtlichen Grund eine Benachrichtigung bzw. offene Signatur für „Signatur-Passwort zurücksetzen“ bekommen. Was bedeutet das?,"Wenn Sie in der App „ID Austria“ diese Benachrichtigung bzw. offene Signatur erhalten haben, ohne dass Sie selbst die Funktion „Signatur-Passwort zurücksetzen“ genutzt haben, liegt die Erklärung vermutlich darin, dass eine andere Person dort versehentlich Ihre Mobiltelefonnummer bzw. Ihren Benutzernamen eingegeben hat. Bitte ignorieren Sie in diesem Fall die offene Signatur und unterschreiben Sie diese nicht. Beim „Signatur-Passwort zurücksetzen“ wird im ersten Schritt der Benutzername oder die Mobiltelefonnummer des betroffenen ID Austria Kontos eingegeben. Anschließend erhalten Sie eine Benachrichtigung der App „ID Austria“ mit dem Titel „ID Austria: Anfrage von Überprüfung zweiter Faktor“. Diese verlinkt auf eine offene Signatur mit dem Titel „Signatur-Passwort zurücksetzen“. Das Unterschreiben der offenen Signatur veranlasst den Versand eines RSa-Briefs an Ihren Hauptwohnsitz. Dieser enthält ein Einmal-Passwort, das für die Änderung Ihres Signatur-Passwortes notwendig ist. Falls Sie aus Versehen die offene Signatur mit dem Titel „Signatur-Passwort zurücksetzen“ in der App unterschrieben haben, Ihr Signatur-Passwort jedoch nicht zurücksetzen wollen, können Sie Ihr aktuelles Signatur-Passwort weiterhin benutzen, auch nach Erhalt des RSa-Briefs. Bei Fragen und für weitere Hilfestellungen kontaktieren Sie bitte das Service Center. Brauchen Sie weitere Unterstützung? Bitte kontaktieren Sie das Service Center.",https://www.id-austria.gv.at/de/hilfe/hilfe-zu-ida/auffaellige-bestaetigungsanforderung,hilfe-zu-ida,2025-06-19,True
Welche Authentifizierungfaktoren gibt es für ID Austria?,"Folgende Authentifizierungsfaktoren sind geeignet, um eine Anmeldung oder Signatur mit ID Austria zu bestätigen oder die ID Austria Registrierung durchzuführen: App „ID Austria“ mit Gesichtserkennung/Iriserkennung ( z.B. Face ID) bzw. Fingerabdruck-Funktion ( z.B. Touch ID) und/oder Gerätepasswort – mehr Info siehe Systemanforderungen FIDO-Sicherheitsschlüssel zur Verbindung mit einem Computer Signaturkarte zur Verbindung mit einem Kartenlesegerät alternative Authentifizierungs-App für ID Austria (derzeit z.B. App „A-Trust Signatur“ mit Gesichtserkennung/Iriserkennung bzw. Fingerabdruck-Funktion oder Gerätepasswort) Bei der ID Austria mit Basisfunktion sind Signaturen und Anmeldungen weiterhin zusätzlich mittels SMS TAN möglich. Sie ist jedoch nicht verlängerbar und bietet weniger Funktionen als die ID Austria mit Vollfunktion. Wenn die ID Austria mit Basisfunktion abläuft, müssen Sie eine neue ID Austria bei einer Behörde registrieren.",https://www.id-austria.gv.at/de/hilfe/hilfe-zu-ida/authentifizierungsfaktoren,hilfe-zu-ida,2026-07-10,True
